Sno,Song,Artist,ArtistID,acousticness,danceability,liveness,loudness,speechiness,valence,energy
221,Feel This Moment (feat. Christina Aguilera),Pitbull,34,0.039,0.673,0.341,-3.632,0.158,0.542,0.758
222,Pretty Hurts,Beyonc‚,35,0.00308,0.512,0.346,-6.764,0.0508,0.201,0.625
223,Haunted,Beyonc‚,35,0.103,0.436,0.507,-9.416,0.0773,0.325,0.534
224,Drunk in Love (feat. Jay Z),Beyonc‚,35,0.00969,0.589,0.181,-6.902,0.0468,0.401,0.621
225,07-Nov,Beyonc‚,35,0.0128,0.747,0.126,-5.137,0.126,0.56,0.705
226,Flawless Remix (feat. Nicki Minaj),Beyonc‚,35,0.241,0.639,0.484,-7.273,0.215,0.457,0.659
227,Drunk in Love Remix (feat. JAY Z & Kanye West),Beyonc‚,35,0.161,0.514,0.118,-3.58,0.052,0.474,0.763
228,Love On Top,Beyonc‚,35,0.0849,0.652,0.604,-5.242,0.0887,0.652,0.748
229,Party (feat. André 3000),Beyonc‚,35,0.0188,0.648,0.169,-6.267,0.0506,0.712,0.593
230,Schoolin' Life,Beyonc‚,35,0.0289,0.799,0.339,-5.481,0.0822,0.551,0.715
231,I Like It Like That (feat. New Boyz),Hot Chelle Rae,36,0.045,0.747,0.317,-5.938,0.0569,0.617,0.771
232,Tonight Tonight,Hot Chelle Rae,36,0.0764,0.686,0.163,-4.977,0.119,0.814,0.783
233,Honestly,Hot Chelle Rae,36,0.0268,0.641,0.11,-4.271,0.0375,0.916,0.787
234,Say (Half Past Nine),Hot Chelle Rae,36,0.000113,0.536,0.206,-3.065,0.0601,0.682,0.953
235,I Like to Dance,Hot Chelle Rae,36,0.00179,0.62,0.0887,-2.595,0.0486,0.83,0.958
236,Never Have I Ever,Hot Chelle Rae,36,6.46E-05,0.529,0.225,-3.2,0.0489,0.787,0.916
237,I Hate LA,Hot Chelle Rae,36,0.0234,0.854,0.0887,-6.649,0.0607,0.504,0.457
238,Too Much,Hot Chelle Rae,36,0.15,0.76,0.0616,-6.976,0.0536,0.578,0.612
239,Stay,Hot Chelle Rae,36,0.00536,0.439,0.197,-6.523,0.257,0.416,0.646
240,Head Above Water,Avril Lavigne,37,0.0112,0.578,0.102,-5.351,0.0706,0.268,0.694
241,Birdie,Avril Lavigne,37,0.272,0.548,0.26,-3.524,0.0864,0.452,0.824
242,I Fell in Love with the Devil,Avril Lavigne,37,0.0235,0.522,0.195,-7.165,0.0831,0.215,0.677
243,Take Me Away,Avril Lavigne,37,0.00138,0.511,0.198,-2.489,0.0343,0.255,0.892
244,Together,Avril Lavigne,37,0.000346,0.435,0.228,-2.91,0.035,0.301,0.861
245,Dark Fantasy,Kanye West,38,0.274,0.59,0.167,-5.919,0.0457,0.367,0.587
246,Power,Kanye West,38,0.0162,0.543,0.744,-4.746,0.113,0.577,0.915
247,On Sight,Kanye West,38,0.487,0.608,0.28,-3.182,0.325,0.515,0.469
248,Black Skinhead,Kanye West,38,0.00112,0.766,0.168,-6.124,0.268,0.299,0.821
249,Intro,Kanye West,38,0.223,0.806,0.519,-13.888,0.904,0.476,0.349
250,We Don't Care,Kanye West,38,0.0142,0.595,0.247,-5.827,0.181,0.647,0.754
251,Graduation Day,Kanye West,38,0.684,0.418,0.414,-9.058,0.338,0.869,0.447
252,Rock the Beat II,LMFAO,39,0.00215,0.388,0.188,-3.674,0.247,0.343,0.893
253,Sorry for Party Rocking,LMFAO,39,0.00213,0.6,0.413,-4.351,0.165,0.55,0.877
254,Rock the Beat II,LMFAO,39,0.00215,0.388,0.188,-3.674,0.247,0.343,0.893
255,Sorry for Party Rocking,LMFAO,39,0.00213,0.6,0.413,-4.351,0.165,0.55,0.877
256,Sweet Talker,Jessie J,40,0.61,0.663,0.208,-5.323,0.0621,0.588,0.655
257,Price Tag (feat. B.o.B),Jessie J,40,0.0839,0.583,0.387,-1.704,0.187,0.774,0.92
258,Nobody's Perfect,Jessie J,40,0.00226,0.571,0.663,-3.22,0.285,0.661,0.881
259,Abracadabra,Jessie J,40,0.0352,0.831,0.0393,-4.488,0.0415,0.767,0.822
260,Good Hit,Jennifer Lopez,41,0.115,0.797,0.121,-4.675,0.202,0.727,0.722
261,First Love,Jennifer Lopez,41,0.00961,0.622,0.311,-5.084,0.0444,0.455,0.708
262,Never Satisfied,Jennifer Lopez,41,0.0705,0.589,0.147,-4.159,0.0698,0.231,0.725
263,Qué Hiciste,Jennifer Lopez,41,0.526,0.623,0.161,-5.595,0.0996,0.594,0.71
