Sno,Song,Artist,ArtistID,Cluster
386,Rainbowland (feat. Dolly Parton),Miley Cyrus,58,3
387,Greyhound,Swedish House Mafia,59,1
388,Antidote (Radio Edit),Swedish House Mafia,59,1
389,Antidote,Swedish House Mafia,59,1
390,Antidote (Knife Party Dub),Swedish House Mafia,59,1
391,Give Life Back to Music,Daft Punk,60,1
392,The Game of Love,Daft Punk,60,2
393,Giorgio by Moroder,Daft Punk,60,1
394,Back from the Edge,James Arthur,61,3
395,Say You Won't Let Go,James Arthur,61,2
396,Prisoner,James Arthur,61,3
397,Get Down,James Arthur,61,3
398,New Tattoo,James Arthur,61,1
399,Complicated,Robin Thicke,62,2
400,Would That Make U Love Me,Robin Thicke,62,1
401,Take It Easy On Me,Robin Thicke,62,1
402,Ooo La La,Robin Thicke,62,1
403,911,Robin Thicke,62,1
404,Mrs. Sexy,Robin Thicke,62,1
405,Sex Therapy,Robin Thicke,62,2
406,Who's That Boy (feat. Dev),Demi Lovato,63,1
407,Confident,Demi Lovato,63,3
408,Cool for the Summer,Demi Lovato,63,3
409,Old Ways,Demi Lovato,63,1
410,La la Land,Demi Lovato,63,3
411,Get Back,Demi Lovato,63,3
412,Trainwreck,Demi Lovato,63,3
413,Shave It Up,Zedd,64,3
414,Shave It Up,Zedd,64,3
415,Born to Die,Lana Del Rey,65,3
416,Off to the Races,Lana Del Rey,65,3
417,Blue Jeans,Lana Del Rey,65,2
418,Ride,Lana Del Rey,65,3
419,American,Lana Del Rey,65,2
420,Cola,Lana Del Rey,65,0
421,Born to Die,Lana Del Rey,65,3
422,Off to the Races,Lana Del Rey,65,3
423,Blue Jeans,Lana Del Rey,65,2
424,Green Valley,Calvin Harris,66,2
425,Bounce (feat. Kelis),Calvin Harris,66,0
426,Feel so Close,Calvin Harris,66,1
427,Faith,Calvin Harris,66,0
428,Under Control (feat. Hurts),Calvin Harris,66,1
429,Blame (feat. John Newman),Calvin Harris,66,3
430,Slide (feat. Frank Ocean & Migos),Calvin Harris,66,2
431,"Cash Out (feat. ScHoolboy Q, PARTYNEXTDOOR & D.R.A.M)",Calvin Harris,66,1
432,"Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",Calvin Harris,66,1
433,Keep the Family Close,Drake,67,3
434,9,Drake,67,1
435,U With Me?,Drake,67,2
436,Legend,Drake,67,1
437,Energy,Drake,67,0
438,10 Bands,Drake,67,1
439,Tuscan Leather,Drake,67,3
440,Furthest Thing,Drake,67,3
441,Started From the Bottom,Drake,67,1
442,Love Song,Sara Bareilles,68,3
443,Vegas,Sara Bareilles,68,3
444,Bottle It Up,Sara Bareilles,68,1
445,Kaleidoscope Heart,Sara Bareilles,68,2
446,Uncharted,Sara Bareilles,68,3
447,Gonna Get Over You,Sara Bareilles,68,3
448,Once Upon Another Time,Sara Bareilles,68,2
449,Stay,Sara Bareilles,68,2
450,Lie to Me,Sara Bareilles,68,1
451,Ten Thousand Hours,Macklemore & Ryan Lewis,69,3
452,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,69,1
453,Ten Thousand Hours,Macklemore & Ryan Lewis,69,3
454,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,69,1
455,Ten Thousand Hours,Macklemore & Ryan Lewis,69,3
456,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,69,1
457,Beneath Your Beautiful (feat. Emeli Sandé),Labrinth,70,3
458,Express Yourself,Labrinth,70,1
459,Let the Sun Shine,Labrinth,70,2
460,New Girl,Labrinth,70,2
461,Formula,Labrinth,70,3
462,Preparing for Call,Labrinth,70,1
463,Closer,Ne-Yo,71,1
464,Nobody,Ne-Yo,71,2
465,Single,Ne-Yo,71,1
466,Cracks in Mr. Perfect,Ne-Yo,71,0
467,Lazy Love,Ne-Yo,71,3
468,Let Me Love You (Until You Learn to Love Yourself),Ne-Yo,71,1
469,Because of You,Ne-Yo,71,2
470,Can We Chill,Ne-Yo,71,1
471,Intro,Ariana Grande,72,2
472,One Last Time,Ariana Grande,72,1
473,Moonlight,Ariana Grande,72,2
474,Dangerous Woman,Ariana Grande,72,1
475,Be Alright,Ariana Grande,72,1
476,Filthy,Justin Timberlake,73,1
