Sno,Song,Artist,ArtistID,acousticness,danceability,liveness,loudness,speechiness,valence,energy,Cluster
116,Sins of My Youth,Neon Trees,19,5.8899999999999995e-05,0.424,0.27899999999999997,0.8633561123766137,0.0423,0.617,0.812,3
117,Love and Affection,Neon Trees,19,0.00020099999999999998,0.5379999999999999,0.10300000000000001,0.899225512528474,0.0372,0.69,0.853,3
118,Animal,Neon Trees,19,0.00033999999999999997,0.48200000000000004,0.37799999999999995,0.8463477600607443,0.0437,0.7390000000000001,0.8290000000000001,3
119,Moving In the Dark,Neon Trees,19,0.000858,0.52,0.22699999999999998,0.8506605922551255,0.0474,0.759,0.789,3
120,Teenage Sounds,Neon Trees,19,7.2e-06,0.423,0.175,0.9013515565679576,0.0543,0.5720000000000001,0.9520000000000001,3
121,Everybody Talks,Neon Trees,19,0.00301,0.47100000000000003,0.313,0.8970690964312834,0.0586,0.725,0.924,3
122,Love In the 21st Century,Neon Trees,19,0.00195,0.573,0.12300000000000001,0.9117084282460138,0.0546,0.95,0.915,3
123,Text Me In the Morning,Neon Trees,19,0.0058200000000000005,0.595,0.345,0.9102201974183752,0.0277,0.71,0.7879999999999999,3
124,Sleeping With a Friend,Neon Trees,19,0.00209,0.579,0.32299999999999995,0.8864692482915719,0.036000000000000004,0.486,0.888,3
125,When the Sun Goes Down,Selena Gomez & The Scene,20,0.0892,0.68,0.0353,0.8994077448747154,0.0767,0.89,0.799,1
126,Round & Round,Selena Gomez & The Scene,20,0.00242,0.537,0.584,0.8922399392558847,0.0705,0.5720000000000001,0.691,0
127,A Year Without Rain,Selena Gomez & The Scene,20,0.0125,0.627,0.111,0.854851936218679,0.0431,0.409,0.81,1
128,Rock God,Selena Gomez & The Scene,20,0.0437,0.743,0.0759,0.9117995444191346,0.166,0.841,0.873,1
129,Ring My Bells,Enrique Iglesias,21,0.114,0.815,0.0923,0.8053454821564163,0.0353,0.428,0.633,1
130,Do You Know? (The Ping Pong Song),Enrique Iglesias,21,0.0503,0.755,0.0326,0.8842520880789675,0.0486,0.691,0.765,1
131,I Like It (feat. Pitbull),Enrique Iglesias,21,0.33299999999999996,0.7090000000000001,0.0656,0.7747304479878514,0.0287,0.8009999999999999,0.669,1
132,Roar,Katy Perry,22,0.00487,0.5539999999999999,0.354,0.869278663629461,0.0418,0.455,0.772,3
133,Legendary Lovers,Katy Perry,22,0.0224,0.623,0.078,0.8702809415337891,0.0846,0.386,0.836,1
134,Birthday,Katy Perry,22,0.0879,0.7190000000000001,0.11199999999999999,0.8601366742596812,0.0681,0.843,0.674,1
135,One of the Boys,Katy Perry,22,0.00201,0.564,0.0818,0.9430220197418377,0.0522,0.675,0.91,3
136,I Kissed a Girl,Katy Perry,22,0.00223,0.6990000000000001,0.132,0.9193318147304482,0.0677,0.696,0.76,1
137,Waking Up In Vegas,Katy Perry,22,0.0012,0.524,0.098,0.9213059984813973,0.0346,0.59,0.878,3
138,Teenage Dream,Katy Perry,22,0.0162,0.7190000000000001,0.134,0.8765375854214125,0.0361,0.591,0.7979999999999999,1
